waktu,price,kurs,GPRD
10/07/2015,52.74,13313.5,107.39
13/07/2015,52.2,13300,81.55
14/07/2015,53.04,13335,105.27
15/07/2015,51.41,13344.5,123.07
16/07/2015,50.91,13344.5,67.7
17/07/2015,50.89,13344.5,229.98
20/07/2015,50.15,13344.5,117.65
21/07/2015,50.36,13344.5,146.96
22/07/2015,49.19,13377.5,63.47
23/07/2015,48.45,13422.5,98.67
24/07/2015,48.14,13445,125.31
27/07/2015,47.39,13459,193.98
28/07/2015,47.98,13462.5,152.95
29/07/2015,48.79,13456,87.72
30/07/2015,48.52,13467.5,113.36
31/07/2015,47.12,13527.5,92.13
03/08/2015,45.17,13500,127.41
04/08/2015,45.74,13485.5,171.44
05/08/2015,45.15,13514,132.93
06/08/2015,44.66,13541.5,99.95
07/08/2015,43.87,13539.5,74.98
10/08/2015,44.96,13549,72.27
11/08/2015,43.08,13600,64.01
12/08/2015,43.3,13785,69.56
13/08/2015,42.23,13745,28.46
14/08/2015,42.5,13787.5,155.1
17/08/2015,41.87,13787.5,77.83
18/08/2015,42.62,13818,128.8
19/08/2015,40.8,13842.5,90.14
20/08/2015,41.14,13870,68.76
21/08/2015,40.45,13942.5,85.34
24/08/2015,38.24,14047,88.93
25/08/2015,39.31,14065,93.8
26/08/2015,38.6,14122.5,97.43
27/08/2015,42.56,13992.5,110.11
28/08/2015,45.22,13982.5,78.32
31/08/2015,49.2,14050,47.83
01/09/2015,45.41,14097.5,71.24
02/09/2015,46.25,14130,95.61
03/09/2015,46.75,14169,88.54
04/09/2015,46.05,14165,121.07
06/09/2015,45.72,14165,28.85
07/09/2015,44.7,14247.5,86.26
08/09/2015,45.94,14280,79.32
09/09/2015,44.15,14261.5,55.21
10/09/2015,45.92,14332.5,103.36
11/09/2015,44.63,14330,58.12
14/09/2015,44,14347.5,79.11
15/09/2015,44.59,14407.5,85.71
16/09/2015,47.15,14455,52.89
17/09/2015,46.9,14457.5,64.28
18/09/2015,44.68,14375,70.75
21/09/2015,46.68,14455,79.25
22/09/2015,45.83,14497.5,96.33
23/09/2015,44.48,14647.5,75.72
24/09/2015,44.91,14647.5,85.49
25/09/2015,45.7,14685,98.03
28/09/2015,44.43,14697.5,91.28
29/09/2015,45.23,14682.5,82.64
30/09/2015,45.09,14650,84.08
01/10/2015,44.74,14670,117.95
02/10/2015,45.54,14642.5,142.71
05/10/2015,46.26,14495,143.31
06/10/2015,48.53,14245.5,118.87
07/10/2015,47.81,13825,101.75
08/10/2015,49.43,13867.5,55.31
09/10/2015,49.63,13420,79.94
12/10/2015,47.1,13405,122.69
13/10/2015,46.66,13619.5,83.47
14/10/2015,46.64,13619.5,83.41
15/10/2015,46.38,13455,83.91
